label,id,shape,width,height
warning--added-lane-right--g1,w4-3,diamond,36,36
warning--bicycles-crossing--g2,w11-1,diamond,36,36
warning--bicycles-crossing--g3,null,diamond,null,null
warning--bus-stop-ahead--g3,null,diamond,null,null
warning--children--g2,null,diamond,null,null
warning--crossroads--g3,w2-1,diamond,36,36
warning--curve-left--g2,w1-2,diamond,36,36
warning--curve-right--g2,w1-2,diamond,36,36
warning--dip--g2,null,diamond,null,null
warning--divided-highway-ends--g1,null,diamond,null,null
warning--divided-highway-ends--g2,w6-2,diamond,36,36
warning--domestic-animals--g3,w11-4,diamond,36,36
warning--double-curve-first-left--g2,w1-4,diamond,36,36
warning--double-curve-first-right--g2,w1-4,diamond,36,36
warning--double-turn-first-right--g1,w1-3,diamond,36,36
warning--emergency-vehicles--g1,w11-8,diamond,36,36
warning--equestrians-crossing--g2,w11-7,diamond,36,36
warning--falling-rocks-or-debris-right--g2,null,diamond,null,null
warning--falling-rocks-or-debris-right--g4,null,diamond,null,null
warning--hairpin-curve-left--g1,w1-11,diamond,36,36
warning--height-restriction--g2,w12-2,diamond,36,36
warning--horizontal-alignment-left--g1,w1-10,diamond,36,36
warning--horizontal-alignment-right--g1,w1-10,diamond,36,36
warning--junction-with-a-side-road-acute-left--g1,w2-3,diamond,36,36
warning--junction-with-a-side-road-acute-right--g1,w2-3,diamond,36,36
warning--junction-with-a-side-road-perpendicular-left--g3,w2-2,diamond,36,36
warning--junction-with-a-side-road-perpendicular-left--g4,null,diamond,null,null
warning--junction-with-a-side-road-perpendicular-right--g3,w2-2,diamond,36,36
warning--loop-270-degree--g1,w1-15,diamond,36,36
warning--narrow-bridge--g1,null,diamond,null,null
warning--offset-roads--g3,null,diamond,null,null
warning--pass-left-or-right--g1,null,diamond,null,null
warning--pass-left-or-right--g2,w12-1,diamond,36,36
warning--pedestrian-crossing--g4,w11-2,diamond,48,48
warning--playground--g1,null,diamond,null,null
warning--playground--g3,null,diamond,null,null
warning--railroad-crossing--g3,null,diamond,null,null
warning--railroad-crossing-with-barriers--g2,null,diamond,null,null
warning--railroad-crossing-with-barriers--g4,null,diamond,null,null
warning--railroad-crossing-without-barriers--g4,null,diamond,null,null
warning--railroad-intersection--g3,w10-2,diamond,36,36
warning--railroad-intersection--g4,w10-3,diamond,36,36
warning--road-bump--g2,null,diamond,null,null
warning--road-narrows-left--g2,null,diamond,null,null
warning--road-narrows-right--g2,null,diamond,null,null
warning--road-widens--g1,null,diamond,null,null
warning--road-widens-right--g1,null,diamond,null,null
warning--roadworks--g2,null,diamond,null,null
warning--roadworks--g4,w21-1,diamond,36,36
warning--roundabout--g25,w2-6,diamond,36,36
warning--slippery-road-surface--g2,w8-5,diamond,36,36
warning--stop-ahead--g9,w3-1,diamond,36,36
warning--t-roads--g2,w2-4,diamond,36,36
warning--texts--g1,null,diamond,null,null
warning--texts--g2,null,diamond,null,null
warning--texts--g3,null,diamond,null,null
warning--traffic-merges-right--g1,w4-1,diamond,36,36
warning--traffic-signals--g3,w3-3,diamond,36,36
warning--trail-crossing--g2,w11-15,diamond,36,36
warning--trucks-crossing--g1,w11-10,diamond,36,36
warning--turn-left--g1,w1-1,diamond,36,36
warning--turn-right--g1,w1-1,diamond,36,36
warning--two-way-traffic--g2,w6-3,diamond,36,36
warning--uneven-road--g2,null,diamond,null,null
warning--wild-animals--g4,w11-3,diamond,36,36
warning--winding-road-first-left--g1,w1-5,diamond,36,36
warning--winding-road-first-right--g1,w1-5,diamond,36,36
warning--wombat-crossing--g1,null,diamond,null,null
complementary--chevron-left--g1,w1-8,rect,18,24
complementary--chevron-right--g1,w1-8,rect,18,24
complementary--one-direction-left--g1,w1-6,rect,48,24
complementary--one-direction-right--g1,w1-6,rect,48,24
regulatory--bicycles-only--g3,r3-17,rect,24,18
regulatory--do-not-block-intersection--g1,r10-7,rect,24,30
regulatory--dual-lanes-go-straight-on-left--g1,r3-8,rect,null,null
regulatory--dual-lanes-go-straight-on-right--g1,r3-8,rect,null,null
regulatory--dual-lanes-turn-left-or-straight--g1,r3-8,rect,null,null
regulatory--go-straight--g3,r3-5a,rect,30,36
regulatory--go-straight-or-turn-left--g2,r3-6,rect,30,36
regulatory--keep-left--g2,r4-8b,rect,48,60
regulatory--keep-right--g4,r4-7,rect,24,30
regulatory--lane-control--g1,r3-7,rect,36,36
regulatory--left-turn-yield-on-green--g1,r10-21,rect,30,36
regulatory--maximum-speed-limit-25--g2,r2-1,rect,36,48
regulatory--maximum-speed-limit-30--g3,r2-1,rect,36,48
regulatory--maximum-speed-limit-35--g2,r2-1,rect,36,48
regulatory--maximum-speed-limit-40--g3,r2-1,rect,36,48
regulatory--maximum-speed-limit-45--g3,r2-1,rect,36,48
regulatory--maximum-speed-limit-55--g2,r2-1,rect,36,48
regulatory--maximum-speed-limit-65--g2,r2-1,rect,36,48
regulatory--no-parking-or-no-stopping--g1,r7-1,rect,18,24
regulatory--no-parking-or-no-stopping--g2,r7-1,rect,18,24
regulatory--no-parking-or-no-stopping--g3,r7-1d,rect,18,24
regulatory--no-turn-on-red--g1,r10-11a,rect,36,48
regulatory--no-turn-on-red--g2,r10-11b,rect,36,36
regulatory--one-way-left--g2,r6-2,rect,30,36
regulatory--one-way-left--g3,r6-1,rect,54,18
regulatory--one-way-right--g2,r6-2,rect,30,36
regulatory--one-way-right--g3,r6-1,rect,54,18
regulatory--road-closed--g2,r11-2,rect,48,30
regulatory--stop-here-on-red-or-flashing-light--g1,r10-6,rect,24,36
regulatory--turn-left--g2,r3-5,rect,30,36
regulatory--turn-right--g3,r3-5,rect,30,36
regulatory--wrong-way--g1,r5-1a,rect,42,30
warning--school-zone--g2,s1-1,pentagon,36,36
regulatory--stop--g1,r1-1,octagon,36,36
