filename,object_id,shape,predicted_shape,predicted_class,group,batch_number,row,column
lOyFCEHv4QJr5e_4iio4kQ.jpg,120,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
td6hA1JM1NS82vSOWWIZEg.jpg,33,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
74TUDq6_cqo1W3VPyi4HUA.jpg,35,rect,circle,circle-750.0,1,0,2,c
74TUDq6_cqo1W3VPyi4HUA.jpg,94,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
74TUDq6_cqo1W3VPyi4HUA.jpg,95,triangle,triangle,triangle-900.0,1,0,0,a
74TUDq6_cqo1W3VPyi4HUA.jpg,96,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
OPjABi53YqCVVOI92G4aOA.jpg,43,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
3lkcZwb8RMADcuxllEPqYA.jpg,41,circle,circle,circle-750.0,1,0,0,a
3lkcZwb8RMADcuxllEPqYA.jpg,81,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
IK13_WWQLEW4VNmuapbWQg.jpg,25,diamond,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
IK13_WWQLEW4VNmuapbWQg.jpg,45,pentagon,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
1zbg4TGpt5MQKtylWQq3gA.jpg,41,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
1zbg4TGpt5MQKtylWQq3gA.jpg,57,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
1zbg4TGpt5MQKtylWQq3gA.jpg,59,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
m7BKI815UU-Lwt1thJBdpg.jpg,31,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
nVKD0-FQT7VHq5Zy2KoNRg.jpg,35,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
-nzQyv07U66nrpw6senUmw.jpg,94,pentagon,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
ZqyLkoG9GEGG9tntQMkosA.jpg,48,rect,pentagon,pentagon-915.0,1,0,2,c
l_6gXEU5XCGQN9uBZxoaiw.jpg,45,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
l_6gXEU5XCGQN9uBZxoaiw.jpg,55,rect,rect,rect-915.0-1220.0,1,0,4,e
l_6gXEU5XCGQN9uBZxoaiw.jpg,57,rect,rect,rect-915.0-1220.0,1,0,0,a
l_6gXEU5XCGQN9uBZxoaiw.jpg,80,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
ea8F3JybOztV16wV_fjo_w.jpg,19,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
6bx_Z1UL47sI4Eg9vzBnAw.jpg,14,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
en9861O4V6o9hF1mpN7Hfg.jpg,9,rect,circle,circle-750.0,1,0,4,e
NudskFzEeVPJdvODln3CdQ.jpg,18,diamond,square,square-600.0,2,0,1,b
NudskFzEeVPJdvODln3CdQ.jpg,19,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
G17msMpwoYt2hW1OjO4OUA.jpg,122,rect,rect,rect-762.0-915.0,1,0,1,b
G17msMpwoYt2hW1OjO4OUA.jpg,123,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
aTKQp86Vz6QY5kfZIPs9kA.jpg,37,rect,circle,circle-750.0,1,0,3,d
xn-mp1lqEZK3JxqRqMUZWg.jpg,30,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
xn-mp1lqEZK3JxqRqMUZWg.jpg,32,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
xn-mp1lqEZK3JxqRqMUZWg.jpg,33,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
xn-mp1lqEZK3JxqRqMUZWg.jpg,34,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
i9ALWw9b70TwFy1q4yeoxg.jpg,34,diamond,square,square-600.0,2,0,2,c
wjcUBd8mVA0peeOnxfYhdg.jpg,83,diamond,square,square-600.0,2,0,3,d
wjcUBd8mVA0peeOnxfYhdg.jpg,95,circle,octagon,octagon-915.0,2,0,1,b
wjcUBd8mVA0peeOnxfYhdg.jpg,96,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
JVuZXGCwwubRXblVsKPidg.jpg,37,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
JVuZXGCwwubRXblVsKPidg.jpg,38,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
JVuZXGCwwubRXblVsKPidg.jpg,49,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
txFbMQt_xgm1ndftcJ0AyA.jpg,25,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
txFbMQt_xgm1ndftcJ0AyA.jpg,30,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
txFbMQt_xgm1ndftcJ0AyA.jpg,36,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
txFbMQt_xgm1ndftcJ0AyA.jpg,47,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
6hTn8EfSedZPWmE4dZwbrA.jpg,17,circle,circle,circle-750.0,1,0,2,c
1KB2cHkioW68n0sgXiLl4w.jpg,120,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
mU5z4Jvz1C5aRteLiXzgzg.jpg,99,diamond,square,square-600.0,2,0,4,e
mU5z4Jvz1C5aRteLiXzgzg.jpg,104,circle,circle,circle-750.0,1,0,3,d
mU5z4Jvz1C5aRteLiXzgzg.jpg,119,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
GHMalr7jFPH81wwsI2RQrw.jpg,72,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
wIVF2VtxBiNf_DIMr5rWSQ.jpg,60,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
wIVF2VtxBiNf_DIMr5rWSQ.jpg,108,circle,circle,circle-750.0,1,0,4,e
FT0lKZ21IVVGmyVFanfzAw.jpg,69,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
FT0lKZ21IVVGmyVFanfzAw.jpg,75,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
FT0lKZ21IVVGmyVFanfzAw.jpg,87,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
dp3oXo-LD7GBlDI-JOPgTA.jpg,32,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,3,d
dp3oXo-LD7GBlDI-JOPgTA.jpg,33,circle,octagon,octagon-915.0,2,0,0,a
dp3oXo-LD7GBlDI-JOPgTA.jpg,55,diamond,square,square-600.0,2,0,0,a
dp3oXo-LD7GBlDI-JOPgTA.jpg,78,diamond,square,square-600.0,2,0,1,b
M43Z-s-nx8oveU71ow6L5w.jpg,42,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,4,e
M43Z-s-nx8oveU71ow6L5w.jpg,63,rect,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
M43Z-s-nx8oveU71ow6L5w.jpg,78,diamond,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
IYlf85HwMBb_tmdpx42IRA.jpg,42,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,0,a
IYlf85HwMBb_tmdpx42IRA.jpg,69,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,1,b
IYlf85HwMBb_tmdpx42IRA.jpg,70,other,other,other-0.0-0.0triangle_inverted-1220.0,3,0,2,c
byqO8rQ5b2Cg-9Agb6q5tw.jpg,33,rect,circle,circle-750.0,1,0,1,b
