filename,obj_id,ymin,ymax,xmin,xmax
lOyFCEHv4QJr5e_4iio4kQ.jpg,120,1652,1777,1163,1288
td6hA1JM1NS82vSOWWIZEg.jpg,33,2040,2192,4248,4400
74TUDq6_cqo1W3VPyi4HUA.jpg,35,2489,2547,1410,1468
74TUDq6_cqo1W3VPyi4HUA.jpg,84,2553,2605,3250,3302
74TUDq6_cqo1W3VPyi4HUA.jpg,93,2545,2608,3754,3817
74TUDq6_cqo1W3VPyi4HUA.jpg,94,2329,2444,3330,3445
74TUDq6_cqo1W3VPyi4HUA.jpg,95,2234,2331,3338,3435
74TUDq6_cqo1W3VPyi4HUA.jpg,96,2382,2552,2971,3141
OPjABi53YqCVVOI92G4aOA.jpg,43,2732,2800,1743,1811
3lkcZwb8RMADcuxllEPqYA.jpg,41,2788,2851,4694,4757
3lkcZwb8RMADcuxllEPqYA.jpg,81,2719,2808,5627,5716
3lkcZwb8RMADcuxllEPqYA.jpg,129,2831,2888,4049,4106
3lkcZwb8RMADcuxllEPqYA.jpg,137,2690,2789,3205,3304
IK13_WWQLEW4VNmuapbWQg.jpg,25,1975,2070,3405,3500
IK13_WWQLEW4VNmuapbWQg.jpg,45,2072,2120,3216,3264
1zbg4TGpt5MQKtylWQq3gA.jpg,41,2190,2248,3080,3138
1zbg4TGpt5MQKtylWQq3gA.jpg,57,2224,2279,2194,2249
1zbg4TGpt5MQKtylWQq3gA.jpg,59,2010,2109,2060,2159
m7BKI815UU-Lwt1thJBdpg.jpg,31,1140,1201,2511,2572
m7BKI815UU-Lwt1thJBdpg.jpg,55,1243,1309,1601,1667
nVKD0-FQT7VHq5Zy2KoNRg.jpg,35,1702,1899,1822,2019
-nzQyv07U66nrpw6senUmw.jpg,94,1158,1309,1193,1344
ZqyLkoG9GEGG9tntQMkosA.jpg,48,1712,1758,2227,2273
l_6gXEU5XCGQN9uBZxoaiw.jpg,45,2464,2525,1595,1656
l_6gXEU5XCGQN9uBZxoaiw.jpg,55,2222,2313,2054,2145
l_6gXEU5XCGQN9uBZxoaiw.jpg,57,2217,2309,1790,1882
l_6gXEU5XCGQN9uBZxoaiw.jpg,80,2427,2479,2778,2830
ea8F3JybOztV16wV_fjo_w.jpg,19,3003,3056,4723,4776
6bx_Z1UL47sI4Eg9vzBnAw.jpg,14,2461,2534,4703,4776
en9861O4V6o9hF1mpN7Hfg.jpg,9,1250,1346,694,790
NudskFzEeVPJdvODln3CdQ.jpg,17,2208,2282,2800,2874
NudskFzEeVPJdvODln3CdQ.jpg,18,1923,2154,3445,3676
NudskFzEeVPJdvODln3CdQ.jpg,19,2152,2267,3504,3619
G17msMpwoYt2hW1OjO4OUA.jpg,122,976,1021,1851,1896
G17msMpwoYt2hW1OjO4OUA.jpg,123,923,977,1846,1900
aTKQp86Vz6QY5kfZIPs9kA.jpg,37,2689,2755,1775,1841
xn-mp1lqEZK3JxqRqMUZWg.jpg,30,2354,2440,4312,4398
xn-mp1lqEZK3JxqRqMUZWg.jpg,32,2415,2487,4317,4389
xn-mp1lqEZK3JxqRqMUZWg.jpg,33,2464,2559,4303,4398
xn-mp1lqEZK3JxqRqMUZWg.jpg,34,2474,2551,4199,4276
