label,id,shape,width_inches,height_inches,page,width_mm,height_mm,target,target_inches
warning--added-lane-right--g1,w4-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--bicycles-crossing--g2,w11-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--bicycles-crossing--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--bus-stop-ahead--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--children--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--crossroads--g3,w2-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--curve-left--g2,w1-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--curve-right--g2,w1-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--dip--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--divided-highway-ends--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--divided-highway-ends--g2,w6-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--domestic-animals--g3,w11-4,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--double-curve-first-left--g2,w1-4,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--double-curve-first-right--g2,w1-4,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--double-turn-first-right--g1,w1-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--emergency-vehicles--g1,w11-8,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--equestrians-crossing--g2,w11-7,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--falling-rocks-or-debris-right--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--falling-rocks-or-debris-right--g4,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--hairpin-curve-left--g1,w1-11,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--height-restriction--g2,w12-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--horizontal-alignment-left--g1,w1-10,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--horizontal-alignment-right--g1,w1-10,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--junction-with-a-side-road-acute-left--g1,w2-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--junction-with-a-side-road-acute-right--g1,w2-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--junction-with-a-side-road-perpendicular-left--g3,w2-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--junction-with-a-side-road-perpendicular-left--g4,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--junction-with-a-side-road-perpendicular-right--g3,w2-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--loop-270-degree--g1,w1-15,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--narrow-bridge--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--offset-roads--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--pass-left-or-right--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--pass-left-or-right--g2,w12-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--pedestrian-crossing--g4,w11-2,diamond,48.0,48.0,,1220.0,1220.0,diamond-1220.0-1220.0,diamond-48.0-48.0
warning--playground--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--playground--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-crossing--g3,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-crossing-with-barriers--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-crossing-with-barriers--g4,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-crossing-without-barriers--g4,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-intersection--g3,w10-2,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--railroad-intersection--g4,w10-3,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--road-bump--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--road-narrows-left--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--road-narrows-right--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--road-widens--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--road-widens-right--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--roadworks--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--roadworks--g4,w21-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--roundabout--g25,w2-6,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--slippery-road-surface--g2,w8-5,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--stop-ahead--g9,w3-1,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--t-roads--g2,w2-4,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--texts--g1,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
warning--texts--g2,,diamond,36.0,36.0,,915.0,915.0,diamond-915.0-915.0,diamond-36.0-36.0
