               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070903,            0.032828,                   0,             0.72978,             0.55231,             0.62723,             0.36788,            0.049098,            0.027055,                   0,           0.0033319,           0.0033319,            0.070013
                   1,            0.055432,            0.028716,                   0,             0.75853,             0.58206,             0.65905,             0.40953,            0.046762,            0.026023,                   0,            0.006665,            0.006665,            0.040013
                   2,            0.053332,            0.028642,                   0,             0.78847,             0.58045,              0.6707,             0.41756,            0.046043,            0.025965,                   0,           0.0099976,           0.0099976,            0.010012
                   3,            0.050854,              0.0284,                   0,              0.7915,             0.60808,              0.6939,             0.44011,            0.044342,            0.025042,                   0,           0.0099978,           0.0099978,           0.0099978
                   4,            0.048562,            0.027212,                   0,             0.79868,             0.62263,             0.71159,             0.45956,            0.042927,            0.024118,                   0,           0.0099978,           0.0099978,           0.0099978
                   5,            0.047421,            0.026708,                   0,             0.79957,             0.63083,             0.71812,             0.47155,            0.042142,            0.023695,                   0,           0.0099961,           0.0099961,           0.0099961
                   6,            0.046677,            0.026269,                   0,             0.82694,             0.62451,             0.72632,             0.47494,            0.041763,            0.023629,                   0,           0.0099938,           0.0099938,           0.0099938
                   7,            0.046606,            0.026043,                   0,             0.80876,             0.63977,             0.72953,             0.48171,            0.041265,            0.023303,                   0,           0.0099911,           0.0099911,           0.0099911
                   8,            0.045829,            0.025762,                   0,             0.83829,             0.63321,             0.73704,             0.48838,            0.040882,            0.023112,                   0,           0.0099879,           0.0099879,           0.0099879
                   9,             0.04563,            0.025623,                   0,             0.81232,             0.65671,             0.74178,             0.49347,            0.040528,            0.022924,                   0,           0.0099842,           0.0099842,           0.0099842
                  10,             0.04536,            0.025792,                   0,             0.83068,              0.6508,              0.7456,             0.49665,            0.040285,            0.022806,                   0,             0.00998,             0.00998,             0.00998
                  11,            0.045256,             0.02548,                   0,             0.82125,             0.66273,             0.74957,             0.50188,            0.039986,            0.022646,                   0,           0.0099753,           0.0099753,           0.0099753
                  12,            0.044792,            0.025197,                   0,             0.82135,             0.66369,             0.75125,             0.50448,            0.039866,            0.022464,                   0,           0.0099702,           0.0099702,           0.0099702
                  13,            0.045004,            0.025628,                   0,              0.8221,             0.66925,             0.75449,             0.50778,            0.039638,            0.022399,                   0,           0.0099645,           0.0099645,           0.0099645
                  14,            0.044697,            0.025008,                   0,              0.8565,              0.6482,             0.75476,             0.50959,            0.039418,            0.022389,                   0,           0.0099584,           0.0099584,           0.0099584
                  15,            0.044279,             0.02496,                   0,             0.84482,             0.66062,             0.75868,             0.51293,            0.039244,            0.022302,                   0,           0.0099517,           0.0099517,           0.0099517
                  16,            0.044417,            0.025019,                   0,             0.83486,             0.66848,              0.7592,             0.51457,            0.039159,             0.02219,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.044336,            0.025109,                   0,             0.84002,             0.66779,             0.76155,              0.5161,            0.038977,            0.022128,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.044178,            0.024983,                   0,              0.8447,             0.66702,              0.7635,             0.51784,            0.038933,            0.022114,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.044095,            0.024717,                   0,             0.83954,              0.6724,             0.76496,             0.52029,            0.038783,            0.022015,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.044115,            0.024934,                   0,             0.84829,             0.67074,             0.76563,             0.52119,             0.03869,            0.021995,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.044178,            0.025111,                   0,             0.83697,             0.67657,             0.76566,             0.52207,            0.038648,            0.021947,                   0,           0.0099017,           0.0099017,           0.0099017
